path,bytes,sha256,experiment,config_hash,generation_command
experiments/phase5_od8_h7/E18_R1/analysis.md,3665,bfda23b517b9e577ca0904180e3f6e3e6be4db5f3e9cfc9eb251b9aeb9955969,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/audit_of_E18.md,4489,faec76f02908889fad106bc955fa4f41c336dbf21356ce8ea157cc8cb595c01b,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/calibration_protocol.md,2401,600fa4b4a1ab9c98ba4400022d02b54e81de01e6035481d8f8fa5f4206c4896f,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/figures/figR1_1_run_level_far.svg,15569,b1c6289f9e4ea6cfd68335935f4afcb97b1e90b9e84ac559b35a0f97a5bc2965,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/final_decision.md,8456,f9b8b2a4d6fa3e077b99ac790de03a8e30f8c948900087cf923f41cb0aa50c58,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/frozen_parameters.md,1769,3257f2b1ffd73b4aaee0d9f153d69942365c416c7483f797893ef9daaa85648a,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/hypothesis.md,1856,a4d0e2fd7ddf014b54743941d1d9d1361e228255e1b01f74a8f164b897984033,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/implementation_changes.md,1270,80aa9370af80178b1e58cfa48baa17219063d8bdde6e4b4e278e064096342439,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/implementation_plan.md,1564,4bba7b047ea66ba7a682634ffdbd2c088a6db4205e08d5bc5bbb8d1dfb8a3edb,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/integrity_checks.md,2668,53c0eaedcbf475aa816c2459686f733ba1c1682e6c14a1eb1937d7add07897d0,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/limitations.md,2233,d384ffa4903fa04544a56bcf928a3b6709ba94a7dfacb4666f7607c756f9097f,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/preregistration.md,6643,fa0654002b12d5d28ef7d99815418c805dc61a82966086cff7bbce6063ca74d1,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/processed_results/comparison.json,4206,112af81df2aeec740908a5f2d0be91bd3cf229ad9bb1a09c705d9a7d601d5246,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/processed_results/configuration.json,559,073344a90979b294870c92123741d02452d5b2c23a82ae40650c8daca6ce2ba0,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/raw_results/clean_runlocal.json,37791,eeade060244f77bb38f9fffdfa9f97294af54c7755a8316561d052b0f558c932,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/README.md,2186,20eb6f4a16326e008ed2e2d58ad8370c815c41e12b036e182da4c5bac395004f,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
experiments/phase5_od8_h7/E18_R1/run_manifest.csv,20134,d6b7ec51db0d4a8be72e84646ab5f43186c6559cb7997b07b3473aef4b0f9691,E18-R1,2e45b38009592e50,python -m benchmarks.e18r1_calibrate --skip-faults
